name,playerid,team,cost,position,lockdown_points,value,
Jonny_Evans,219,9,55,2,20,0.364,
João Pedro Cavaco_Cancelo,277,12,55,2,20,0.364,
Cédric_Soares,5,1,50,2,18,0.360,
Emil_Krafth,333,14,45,2,16,0.356,
Neco_Williams,264,11,40,2,14,0.350,
Federico_Fernández,323,14,50,2,17,0.340,
Shkodran_Mustafi,7,1,50,2,17,0.340,
Joel_Ward,134,6,45,2,15,0.333,
Luke_Thomas,240,9,45,2,15,0.333,
Oleksandr_Zinchenko,283,12,55,2,18,0.327,
Aaron_Cresswell,435,19,50,2,16,0.320,
Angelo_Ogbonna,432,19,50,2,16,0.320,
Danny_Rose,384,17,50,2,16,0.320,
Mason_Holgate,165,7,50,2,16,0.320,
Nicolás_Otamendi,269,12,50,2,16,0.320,
Reece_James,123,5,50,2,16,0.320,
Frédéric_Guilbert,47,2,45,2,14,0.311,
Jack_Robinson,352,15,45,2,14,0.311,
Rob_Holding,16,1,45,2,14,0.311,
Scott_Dann,486,6,45,2,14,0.311,
Joseph_Gomez,260,11,55,2,17,0.309,
Çaglar_Söyüncü,238,9,55,2,17,0.309,
Jack_O'Connell,354,15,50,2,15,0.300,
Jarrad_Branthwaite,170,7,40,2,11,0.275,
David_Luiz Moreira Marinho,3,1,55,2,15,0.273,
Brandon_Williams,318,13,45,2,12,0.267,
Jannik_Vestergaard,369,16,45,2,12,0.267,
Gary_Cahill,125,6,45,2,11,0.244,
Ryan_Bennett,456,20,45,2,11,0.244,
Andreas_Christensen,116,5,50,2,12,0.240,
Wes_Morgan,216,9,45,2,10,0.222,
Eric_Dier,391,17,50,2,11,0.220,
Nathan_Aké,279,12,55,2,12,0.218,
Fernando_Luiz Rosa,266,12,55,2,11,0.200,
John_Stones,273,12,50,2,10,0.200,
Jamaal_Lascelles,328,14,45,2,9,0.200,
Rúben Gonçalo_Silva Nascimento Vinagre,471,20,45,2,9,0.200,
Shane_Duffy,58,3,45,2,8,0.178,
Matthew_Lowton,92,4,45,2,7,0.156,
Timothy_Fosu-Mensah,312,13,45,2,7,0.156,
Ben_Johnson,452,19,40,2,6,0.150,
Yan_Valery,378,16,50,2,7,0.140,
Neil_Taylor,31,2,45,2,5,0.111,
Joel_Matip,246,11,55,2,6,0.109,
Ainsley_Maitland-Niles,15,1,50,2,5,0.100,
Tyrick_Mitchell,146,6,40,2,4,0.100,
Yerry_Mina,162,7,55,2,5,0.091,
Fabián_Balbuena,443,19,45,2,4,0.089,
Mamadou_Sakho,127,6,45,2,4,0.089,
Bernardo_Fernandes da Silva Junior,75,3,40,2,3,0.075,
DeAndre_Yedlin,335,14,45,2,3,0.067,
Jake_Vokins,380,16,40,2,2,0.050,
Christian_Fuchs,218,9,45,2,2,0.044,
Martín_Montoya,63,3,45,2,2,0.044,
Eric_Bailly,310,13,50,2,2,0.040,
Fabian_Schär,334,14,50,2,2,0.040,
Kelland_Watts,342,14,40,2,1,0.025,
Arthur_Masuaku,442,19,45,2,1,0.022,
Pablo_Marí,10,1,45,2,1,0.022,
Emerson_Palmieri dos Santos,111,5,50,2,1,0.020,
Axel_Tuanzebe,307,13,45,2,0,0.000,
Ben_Gibson,94,4,40,2,0,0.000,
Bjorn_Engels,36,2,45,2,0,0.000,
Calum_Chambers,13,1,45,2,0,0.000,
Chris_Smalling,292,13,50,2,0,0.000,
Ciaran_Clark,324,14,45,2,0,0.000,
Daniel_Amartey,227,9,40,2,0,0.000,
Ethan_Ampadu,509,15,45,2,0,0.000,
Fikayo_Tomori,121,5,50,2,0,0.000,
Filip_Benkovic,237,9,45,2,0,0.000,
Florian_Lejeune,327,14,45,2,0,0.000,
James_Tomkins,129,6,45,2,0,0.000,
Japhet_Tanganga,402,17,50,2,0,0.000,
José Diogo_Dalot Teixeira,314,13,50,2,0,0.000,
Juan_Foyth,406,17,45,2,0,0.000,
Marcos_Rojo,294,13,50,2,0,0.000,
Martin_Kelly,135,6,45,2,0,0.000,
Matthew_Clarke,73,3,45,2,0,0.000,
Max_Kilman,470,20,40,2,0,0.000,
Oskar_Buur,467,20,40,2,0,0.000,
Paul_Dummett,331,14,45,2,0,0.000,
Phil_Jones,297,13,50,2,0,0.000,
Ricardo Domingos_Barbosa Pereira,226,9,60,2,0,0.000,
Ryan_Sessegnon,399,17,50,2,0,0.000,
Sokratis_Papastathopoulos,2,1,50,2,0,0.000,
Matt_Ritchie,322,14,50,3,44,0.880,1
Declan_Rice,448,19,50,3,39,0.780,1
Phil_Foden,284,12,65,3,50,0.769,1
Bruno Miguel_Borges Fernandes,302,13,105,3,79,0.752,1
Raheem_Sterling,276,12,115,3,86,0.748,1
Mahmoud Ahmed_Ibrahim Hassan,40,2,55,3,40,0.727,
Stuart_Armstrong,368,16,55,3,40,0.727,
Tomas_Soucek,449,19,50,3,35,0.700,
Willian_Borges Da Silva,478,1,80,3,55,0.688,
Allan_Saint-Maximin,338,14,55,3,37,0.673,
Christian_Pulisic,119,5,85,3,57,0.671,
Mason_Greenwood,315,13,75,3,50,0.667,
Jonjo_Shelvey,321,14,55,3,36,0.655,
Sander_Berge,360,15,50,3,32,0.640,
Riyad_Mahrez,275,12,85,3,54,0.635,
Kevin_De Bruyne,272,12,115,3,73,0.635,
Leander_Dendoncker,464,20,50,3,30,0.600,
Nathan_Redmond,365,16,65,3,38,0.585,
Fabio Henrique_Tavares,253,11,55,3,32,0.582,
Heung-Min_Son,390,17,90,3,47,0.522,
Conor_Hourihane,33,2,60,3,31,0.517,
Bukayo_Saka,24,1,55,3,28,0.509,
Miguel_Almirón,339,14,60,3,30,0.500,
Ashley_Westwood,89,4,55,3,27,0.491,
Naby_Keita,261,11,55,3,27,0.491,
Leandro_Trossard,69,3,60,3,29,0.483,
Jarrod_Bowen,445,19,65,3,31,0.477,
Granit_Xhaka,9,1,55,3,26,0.473,
Rúben Diogo_da Silva Neves,466,20,55,3,26,0.473,
Marcus_Rashford,306,13,95,3,43,0.453,
Yves_Bissouma,76,3,45,3,20,0.444,
Jack_Grealish,37,2,70,3,31,0.443,
Pierre-Emerick_Aubameyang,4,1,120,3,53,0.442,
Daniel_Ceballos Fernández,501,1,50,3,22,0.440,
Nemanja_Matic,295,13,50,3,22,0.440,
Paul_Pogba,296,13,80,3,34,0.425,
William_Smallbone,379,16,45,3,19,0.422,
Mark_Noble,427,19,50,3,21,0.420,
Oliver_Norwood,349,15,50,3,21,0.420,
André Filipe_Tavares Gomes,158,7,55,3,23,0.418,
John_McGinn,38,2,55,3,23,0.418,
Giovani_Lo Celso,403,17,70,3,29,0.414,
Bernardo Mota_Veiga de Carvalho e Silva,281,12,75,3,30,0.400,
Dwight_McNeil,100,4,60,3,24,0.400,
James_Ward-Prowse,370,16,60,3,24,0.400,
Ross_Barkley,106,5,60,3,24,0.400,
Georginio_Wijnaldum,243,11,55,3,22,0.400,
Josh_Brownhill,98,4,50,3,20,0.400,
Moussa_Sissoko,385,17,50,3,20,0.400,
Mohamed_Salah,254,11,120,3,47,0.392,
Sadio_Mané,251,11,120,3,46,0.383,
Daniel_Castelo Podence,469,20,55,3,21,0.382,
Douglas Luiz_Soares de Paulo,52,2,50,3,19,0.380,
Gylfi_Sigurdsson,150,7,70,3,26,0.371,
Mason_Mount,120,5,70,3,26,0.371,
Demarai_Gray,230,9,55,3,20,0.364,
Joseph_Willock,20,1,50,3,18,0.360,
Wilfred_Ndidi,236,9,50,3,18,0.360,
Wilfried_Zaha,141,6,70,3,25,0.357,
Andriy_Yarmolenko,436,19,60,3,21,0.350,
João Filipe Iria_Santos Moutinho,454,20,55,3,19,0.345,
Rodrigo_Hernandez,286,12,55,3,19,0.345,
Lucas_Rodrigues Moura da Silva,392,17,70,3,24,0.343,
Adama_Traoré,465,20,65,3,22,0.338,
Pablo_Fornals,450,19,65,3,22,0.338,
Youri_Tielemans,228,9,65,3,22,0.338,
Anthony_Gordon,168,7,45,3,15,0.333,
Dale_Stephens,55,3,45,3,15,0.333,
Oriol_Romeu Vidal,364,16,45,3,15,0.333,
Aaron_Mooy,60,3,50,3,16,0.320,
Luka_Milivojevic,138,6,60,3,19,0.317,
Harry_Winks,397,17,55,3,17,0.309,
James_McArthur,130,6,55,3,17,0.309,
Jordan_Henderson,244,11,55,3,17,0.309,
Tom_Davies,163,7,55,3,17,0.309,
Alex_Oxlade-Chamberlain,248,11,65,3,20,0.308,
Harvey_Barnes,235,9,70,3,21,0.300,
Ayoze_Pérez,229,9,65,3,19,0.292,
John_Lundstram,355,15,55,3,16,0.291,
Steven_Bergwijn,400,17,75,3,21,0.280,
Davy_Pröpper,59,3,50,3,14,0.280,
Pedro_Lomba Neto,474,20,55,3,15,0.273,
Diogo_Jota,468,20,65,3,17,0.262,
Cheikhou_Kouyaté,133,6,50,3,13,0.260,
Erik_Lamela,387,17,60,3,15,0.250,
Curtis_Jones,263,11,45,3,11,0.244,
Ben_Osborn,356,15,50,3,12,0.240,
Isaac_Hayden,336,14,50,3,12,0.240,
Ilkay_Gündogan,271,12,55,3,13,0.236,
Alex_Iwobi,159,7,60,3,14,0.233,
Andros_Townsend,137,6,60,3,14,0.233,
Anwar_El Ghazi,45,2,60,3,14,0.233,
Theo_Walcott,148,7,60,3,14,0.233,
Nicolas_Pépé,18,1,80,3,18,0.225,
James_McCarthy,131,6,45,3,10,0.222,
Jorge Luiz_Frello Filho,105,5,50,3,11,0.220,
Bernard_Anício Caldeira Duarte,154,7,60,3,12,0.200,
Ruben_Loftus-Cheek,115,5,60,3,12,0.200,
Alexis_Mac Allister,80,3,55,3,11,0.200,
Jeffrey_Schlupp,142,6,55,3,11,0.200,
Marc_Albrighton,221,9,55,3,11,0.200,
Reiss_Nelson,21,1,55,3,11,0.200,
Scott_McTominay,309,13,50,3,10,0.200,
Johann Berg_Gudmundsson,90,4,55,3,10,0.182,
Mateo_Kovacic,107,5,55,3,10,0.182,
Pierre-Emile_Højbjerg,396,17,50,3,9,0.180,
Marvelous_Nakamba,44,2,45,3,8,0.178,
Jack_Cork,84,4,50,3,8,0.160,
N'Golo_Kanté,113,5,50,3,8,0.160,
Solomon_March,65,3,50,3,8,0.160,
Jairo_Riedewald,144,6,45,3,7,0.156,
Sean_Longstaff,480,14,50,3,7,0.140,
Callum_Hudson-Odoi,122,5,60,3,8,0.133,
Harry_Wilson,257,11,55,3,7,0.127,
Takumi_Minamino,258,11,65,3,8,0.123,
Jesse_Lingard,301,13,60,3,7,0.117,
John_Fleck,346,15,60,3,7,0.117,
Pascal_Groß,57,3,60,3,7,0.117,
Dennis_Praet,225,9,55,3,6,0.109,
Hamza_Choudhury,234,9,50,3,5,0.100,
Max_Meyer,143,6,50,3,5,0.100,
Daniel_James,311,13,65,3,6,0.092,
Billy_Gilmour,124,5,45,3,4,0.089,
James_Maddison,231,9,70,3,6,0.086,
Matteo_Guendouzi,25,1,50,3,4,0.080,
Felipe Anderson_Pereira Gomes,440,19,65,3,5,0.077,
Manuel_Lanzini,439,19,65,3,5,0.077,
Frederico_Rodrigues de Paula Santos,299,13,55,3,4,0.073,
James_Milner,241,11,55,3,4,0.073,
Oliver_Skipp,404,17,45,3,3,0.067,
Gedson_Carvalho Fernandes,401,17,50,3,3,0.060,
Morgan_Gibbs-White,473,20,50,3,3,0.060,
Robbie_Brady,95,4,50,3,3,0.060,
Andreas_Pereira,304,13,50,3,2,0.040,
Jack_Wilshere,434,19,50,3,2,0.040,
Lucas_Torreira,19,1,50,3,2,0.040,
Luke_Freeman,477,15,50,3,2,0.040,
Matthew_Longstaff,487,14,50,3,2,0.040,
Bamidele_Alli,394,17,80,3,3,0.038,
Alireza_Jahanbakhsh,71,3,55,3,2,0.036,
José Ignacio_Peleteiro Romallo,34,2,60,3,2,0.033,
Juan_Mata,290,13,60,3,2,0.033,
Brandon_Pierrick,147,6,45,3,1,0.022,
Bruno André_Cavaco Jordao,475,20,45,3,1,0.022,
Harvey_Elliott,265,11,45,3,1,0.022,
Henri_Lansbury,30,2,45,3,1,0.022,
Tommy_Doyle,285,12,45,3,1,0.022,
Christian_Atsu,330,14,55,3,1,0.018,
Sofiane_Boufal,372,16,55,3,1,0.018,
Tanguy_Ndombele,405,17,60,3,1,0.017,
Xherdan_Shaqiri,247,11,65,3,1,0.015,
Adam_Lallana,54,3,65,3,0,0.000,
Anthony_Knockaert,177,8,55,3,0,0.000,
Emile_Smith Rowe,23,1,45,3,0,0.000,
Fabian_Delph,149,7,50,3,0,0.000,
Gabriel Teodoro_Martinelli Silva,26,1,50,3,0,0.000,
Grady_Diangana,446,18,55,3,0,0.000,
Jacob_Murphy,497,14,50,3,0,0.000,
James_Garner,317,13,45,3,0,0.000,
Jean-Philippe_Gbamin,161,7,50,3,0,0.000,
Jeff_Hendrick,485,14,50,3,0,0.000,
Mario_Lemina,493,8,45,3,0,0.000,
Matty_James,222,9,45,3,0,0.000,
Mesut_Özil,1,1,70,3,0,0.000,
Moussa_Djenepo,382,16,55,3,0,0.000,
Robert_Snodgrass,428,19,60,3,0,0.000,
Rolando_Aarons,337,14,50,3,0,0.000,
Ryan_Fraser,507,14,60,3,0,0.000,
Steven_Alzate,79,3,45,3,0,0.000,
Tahith_Chong,316,13,45,3,0,0.000,
Michail_Antonio,437,19,65,4,66,1.015,1
Anthony_Martial,303,13,90,4,78,0.867,1
Dwight_Gayle,329,14,60,4,42,0.700,1
Danny_Ings,366,16,85,4,58,0.682,
Che_Adams,377,16,60,4,39,0.650,
Jay_Rodriguez,86,4,60,4,35,0.583,
Olivier_Giroud,103,5,70,4,40,0.571,
Raúl_Jiménez,460,20,85,4,47,0.553,
Gabriel Fernando_de Jesus,282,12,95,4,49,0.516,
Harry_Kane,388,17,105,4,54,0.514,
Alexandre_Lacazette,6,1,85,4,40,0.471,
Oliver_McBurnie,357,15,60,4,28,0.467,
Neal_Maupay,68,3,65,4,30,0.462,
Jamie_Vardy,224,9,100,4,43,0.430,
David_McGoldrick,344,15,55,4,23,0.418,
Chris_Wood,91,4,65,4,27,0.415,
Richarlison_de Andrade,166,7,80,4,32,0.400,
Jordan_Ayew,140,6,60,4,24,0.400,
Aaron_Connolly,78,3,55,4,20,0.364,
Michael_Obafemi,381,16,50,4,17,0.340,
Kelechi_Iheanacho,233,9,60,4,20,0.333,
Callum_Wilson,506,14,65,4,21,0.323,
Keinan_Davis,50,2,45,4,14,0.311,
Tammy_Abraham,118,5,75,4,22,0.293,
Billy_Sharp,343,15,60,4,17,0.283,
Joelinton Cássio_Apolinário de Lira,340,14,60,4,17,0.283,
Roberto_Firmino,249,11,95,4,25,0.263,
Matej_Vydra,93,4,50,4,13,0.260,
Mbwana_Samatta,49,2,60,4,15,0.250,
Divock_Origi,256,11,55,4,13,0.236,
Edward_Nketiah,22,1,60,4,13,0.217,
Lys_Mousset,359,15,60,4,13,0.217,
Moise_Kean,169,7,60,4,13,0.217,
Dominic_Calvert-Lewin,164,7,70,4,15,0.214,
Andy_Carroll,320,14,55,4,9,0.164,
Christian_Benteke,132,6,55,4,9,0.164,
Shane_Long,361,16,55,4,9,0.164,
Glenn_Murray,53,3,50,4,7,0.140,
Odion_Ighalo,293,13,65,4,7,0.108,
Sébastien_Haller,441,19,65,4,5,0.077,
Sergio_Agüero,268,12,105,4,8,0.076,
Indiana_Vassilev,51,2,45,4,2,0.044,
Yoshinori_Muto,341,14,50,4,1,0.020,
Albian_Ajeti,447,19,55,4,1,0.018,
Ashley_Barnes,87,4,60,4,0,0.000,
Callum_Robinson,358,15,55,4,0,0.000,
Cenk_Tosun,153,7,60,4,0,0.000,
Charlie_Austin,415,18,55,4,0,0.000,
Connor_Wickham,136,6,45,4,0,0.000,
Florin_Andone,64,3,50,4,0,0.000,
Leonardo_Campana,476,20,50,4,0,0.000,
Michy_Batshuayi,108,5,60,4,0,0.000,
Rhian_Brewster,262,11,45,4,0,0.000,
Wesley_Moraes,48,2,60,4,0,0.000,
